HOSPITAL OR CLNIC NAME ,PROVIDER TYPE,EMIRATE,ADDRESS,TELEPHONE,GOLD NETWORK,SILVER PREMIUM NETWORK,SILVER CLASSIC NETWORK,GREEN NETWORK,EMERALD NETWORK,PEARL NETWORK,DENTAL COVER,SPECIAL REMARKS
NEW MAZAYA PHARMACY EST.-LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"NEW MAZAYA PHARMACY, G06, MAZAYA SHOPPING CENTRE, DUBAI",04-3211433,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SUPER LIFE PHARMACY ,PHARMACY,DUBAI,"MEADOWS, NEAR SPINNEYS,MEADOWS COMMUNITY CENTER",04-3608800,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ASTER PHARMACY 119- DM HEALTHCARE,PHARMACY,DUBAI,"SHOP NO. 7,MEADOWS, EMIRATES HILLS 3,ENOC 1086",04-2672946,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEADOWS LIFE PHARMACY BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"Unit no. GF-32, New Meadows Village, Dubai, UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
"SUPER CARE PHARMACY L.L.C., MEAISEM (SUPERCARE PHARMACY GROUP)",PHARMACY,DUBAI,"Meaisem City Center, Dubai",04-5897079,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
LIFE PHARMACY 29 BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"UNIT NO. G 030, GROUND FLOOR, CITY CENTRE MEAISEM, DUBAI UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SUPER CARE PHARMACY,PHARMACY,DUBAI,"DUBAI MEDIA CITY, BUILDING #7",04-3902445,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
HEALTH FIRST PHARMACY 27 BR,PHARMACY,DUBAI,"MEAISEM FIRST, THE CRESCENT B BUILDING",04-4253020,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
ASTER PHARMACY 109 BR OF ASTER PHARMACIES GROUP LLC,PHARMACY,DUBAI,"GHUROOB COMMUNITY, GHUROOB STREET",04-4582727,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ASTER PHARMACY 116 BR OF ASTER PHARMACIES GROUP LLC,PHARMACY,DUBAI,"MIRDIF COMMERCIAL COMPLEX, SHOP NO. 1 &2, MIRDIF 
WESTZONE SUPERMARKET",04-2884190,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDICINA PHARMACY 13- DUBAI - MEDICINA GRP,PHARMACY,DUBAI,"Mirdif 35 avenue, Dubai",04-2280566,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
MEDI PRIME AL MIZHAR PHARMACY,PHARMACY,DUBAI,"AL KHAWANEEJ ROAD, ARABIAN CENTER SHOP 1122",04-2845674,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,Psychiatric Benefits Not Covered
SUPER CARE PHARMACY,PHARMACY,DUBAI,"AL KHAWANEEJ ROAD, ARABIAN PLAZA",04-2845540,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
BETA PHARMACY,PHARMACY,DUBAI,"EMIRATES ROAD, CITY CENTRE-MIRDIFF",04-2840678,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY 19 BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"INSIDE CARREFOUR, MIRDIFF CITY CENTRE, DUBAI, UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
UPTOWN PHARMACY,PHARMACY,DUBAI,"J3 Mall, 1st Floor, Al Wasl Road, Al Manara, Dubai, UAE",04-3392762,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
BIN SINA PHARMACY-38,PHARMACY,DUBAI,"MIRDIF , MIRDIF CITY CENTRE",04-2843057,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
BIN SINA PHARMACY-35,PHARMACY,DUBAI,"MIRDIF, CARREFOUR MIRDIF CITY CENTRE",04-2840082,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
"ASTER PHARMACY 113 (Br of Aster Pharmacies Group LLC), DUBAI",PHARMACY,DUBAI,"MIRDIFF MALL, MIRDIFF, DUBAI",04-2839542,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
FAWAGEE SCIENTIFIC PHARMACY ,PHARMACY,DUBAI,"MIRDIFF, 26B STREET",04-2881800,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE AL BARSHA PHARMACY ,PHARMACY,DUBAI,"MIRDIFF, ETHIHAD MALL",04-2840780,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SUPER CARE PHARMACY MIRDIFF,PHARMACY,DUBAI,"MIRDIFF, MIRDIFF CITY CENTRE",04-2839171,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
LIFE MORE PHARMACY ,PHARMACY,DUBAI,"MIRDIFF, NEAR BELAL MOSQUE , STREETNO 83",04-2882044,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MIRDIF PHARMACY,PHARMACY,DUBAI,"MIRDIFF, NEAR REX CINEMA, MIRDIF",04-2885481,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
MEDICOM 10,PHARMACY,DUBAI,"MIRDIFF, NEAR UPTOWN MALL",04-2885995,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
TOWN LIFE PHARMACY,PHARMACY,DUBAI,"MIRDIFF, NEAR WECARE CLINIC ",04-2848355,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDSAVE PHARMACY,PHARMACY,DUBAI,"MIRDIFF, UNION NATIONAL BANK ",04-2847600,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDICINA PHARMACY 16 - DUBAI - MEDICINA GRP,PHARMACY,DUBAI,"Park Centre , Mirdiff , Dubai",04-3456556,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
HEALTH FIRST PHARMACY 41-PLANET PHARMACY,PHARMACY,DUBAI,"SHOP NO. 6, UPTOWN MIRDIFF MALL",04-2882296,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
"MARINA PHARMACY SHOROOQ BR OF MARINA PHARMACY LLC, (MARINA GROUP)",PHARMACY,DUBAI,"Shorooq Community Center, Mirdiff ",04-3466889,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SUPER CARE PHARMACY MIRDIF 2,PHARMACY,DUBAI,"SPINNEYS COMMUNITY CENTER, MIRDIF, ",04-2858222,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
C C M LIFE PHARMACY BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"Unit No. D006A, Ground Floor, Midriff City Centre, Dubai - UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SUPERCARE PHARMACY 38- SUPERCARE PHARMACY GROUP,PHARMACY,DUBAI,"UPTOWN MIRDIFF, DUBAI",04-3504500,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MEDICOM 7 PHARMACY (FLAME PHARMACY),PHARMACY,DUBAI,"AL MIZHAR, AL MIZHAR MALL",04-2876804,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE AL MIZHAR FIRST BR OF LIFE PHARMACY,PHARMACY,DUBAI,"Unit no. 2630, Arabian Center, Al Mizhar, Dubai",04-2360046,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL MANARA ALMANZIL PHARMACY,PHARMACY,DUBAI,SOUK AL MANZIL,04-3621161,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY 47 BR OF LIFE PHARMACY LLC - LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"Unit 2 &3, Nshama Community Centre, Town Square Dubai, UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"SUPER CARE PHARMACY LLC, AL HEBIAH 1 (SUPERCARE PHARMACY GROUP)",PHARMACY,DUBAI,"AL Hebiah-1, Turin Boulevard Road, Waitrose Shopping center, Motor City, DUBAI",04-5466383,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MEDI PRIME PHARMACY MOTOR CITY (BR OF MEDI PRIME PHARMACY (LLC)) (PRIME HEALTHCARE GROUP),PHARMACY,DUBAI,"First Avenue Mall, Al Hebaiah First Area, Motor City, Dubai",04-6079916,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,Psychiatric Benefits Not Covered
MOTOR COMMUNITY PHARMACY,PHARMACY,DUBAI,GREEN MOTOR CITY,04-4541527,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
NEW MOTOR CITY PHARMACY L.L.C (LIFE HEALTHCARE GROUP),PHARMACY,DUBAI,"NEXT TO SPINNEYS UPTOWN, MOTOR CITY",04-4474022,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ASTER PHARMACY 143 BR OF ASTER PHARMACIES GROUP-DUBAI,PHARMACY,DUBAI,"THE RIBBON BUILDING 2, AL HEBIAH FIRST, PLOT 94-0, MOTOR CITY, DUBAI",04-4430474,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
TRACKS COMMUNITY PHARMACY,PHARMACY,DUBAI,UPTOWN MOTOR CITY,04-4475828,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
IBN SINA 56 PHARMACY ,PHARMACY,DUBAI,MOTOR CITY - AL HABIAH FIRST,04-9335246,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
SUPERCARE PHARMACY 44- SUPERCARE PHARMACY GROUP,PHARMACY,DUBAI,"MOTOR CITY, DUBAI",04-3504500,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
"GRAND INFINITY PHARMACY LLC ,DUBAI",PHARMACY,DUBAI,"Muhaisana Area Beirut Street ,Al Qasir Building , Muhaisana-4 ; Dubai ",04-2515458,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
NOVA ADVANCED CARE PHARMACY LLC-ADVANCED CARE GROUP,PHARMACY,DUBAI,"NEAR AL QUASIS BUS STATION 5 , 32A STREET . SHAKLAN HYPERMARKET 2 , MUHAISNAH 2.",04-3807807,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ACCESS PHARMACY 2- DM HEALTHCARE,PHARMACY,DUBAI,"ACCESS CLININC BULDING, NEAR BUS STATION, SONAPUR, MUHAISINA, DUBAI",04-2672946,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MUHAISNA STAR PHARMACY,PHARMACY,DUBAI,"MUHAMMED ALI ABUDL RAHMAN BUILDING, AL QUSAIS",04-2644012,Covered,Covered,Covered,Covered,Not Covered,Covered,Not Covered,
"ASTER HOSPITAL PHARMACY SONAPUR LLC,MUHAISANAH (DM HEALTHCARE)",PHARMACY,DUBAI,"Aster Hospital, Muhaisnah Algeria Street, Muhaisnah, Sonapur",04-4400500,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
PHARMA ONE PHARMACY LLC- DUBAI,PHARMACY,DUBAI,"FATIMA BLDG, BEIRUT ST, NEXT TO MADINA MALL, MUHAISNAH 4, DUBAI",04 2631107,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
AL NEEM GRAND PHARMACY LLC - DUBAI (AL NEEM GROUP),PHARMACY,DUBAI,"FRESH MASCO HYPERMARKET,MUHAISNAH 4, DUBAI",04-2237770,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
RIGHT HEALTH PHARMACY LLC (RIGHT HEALTH GROUP),PHARMACY,DUBAI,"SUMAIYA AHMAD YOSUF MOHAMMAD BUILDING, GROUND FLOOR, MUHAISANAH SECOND",04-3335502,Covered,Covered,Covered,Covered,Not Covered,Covered,Not Covered,
"MUSALLA SONAPOOR PHARMACY, MUHAISNAH 2 ",PHARMACY,DUBAI,SHAKALAN 2 SUPERMARKET BUILDING MUHAISNAH 2,04-2544461,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
ASTER MEDICAL CENTRE PHARMACY AL MUHAISNA BR OF DM HEALTHCARE LLC - DUBAI,PHARMACY,DUBAI,"SHOP NO.1 ZARAA RESIDENCE 1,BEHIND ST.MARY CATHOLIC HIGH SCHOOL, NEAR LULU VILLAGE,MUHAISNAH 4, DUBAI",04-5479070,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AMAAN PHARMACY LLC DOCIB,PHARMACY,DUBAI,LULU VILLAGE,04-2647264,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
"SUPER CARE PHARMACY LLC BRANCH, AL GHURAIR CENTER (SUPERCARE PHARMACY GROUP)",PHARMACY,DUBAI,"AL GHURAIR CENTER, AL MURAQABBAT, DEIRA, DUBAI.",04-5488857,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
NEW GRAND MURQABAT PHARMACY L.L.C-LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"SHOP# 5  @ MURQABAT, DUBAI UAE.",04-2552275,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
NOVO PHARMACY LLC (BRANCH) - DUBAI (NOVO HEALTHCARE GROUP),PHARMACY,DUBAI,"Al Bafta Grand Deira, G-Floor, Al Muraqabbat Road, Deira, Dubai, U.A.E",04-5474214,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MED X PHARMACY LLC - DUBAI,PHARMACY,DUBAI,"BEL RAMAITHA CLUB BUILDING, AL REBAAT STREET, P O BOX 49294, DUBAI, UAE.",04-2854641,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
MEDICINA 2 PHARMACY,PHARMACY,DUBAI,NAD AL HAMAR MALL,04-2898201,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
BIN SINA PHARMACY 30,PHARMACY,DUBAI,"NAD AL HAMAR, ASWAAQ MALL",04-2845066,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"SUPER CARE PHARMACY L.L.C BRANCH, NAD AL SHEBA (SUPERCARE PHARMACY GROUP)",PHARMACY,DUBAI,"MEYDAN HEIGHTS, NAD AL SHEBA, DUBAI",04-3588358,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
IBN SINA 73 PHARMACY (BR OF IBN SINA GROUP PHARMACIES),PHARMACY,DUBAI,"Nad Al Sheba, Matrix Tower, Dubai, 11245",04-2424028,Covered,Covered,Covered,Covered,Not Covered,Covered,Not Covered,
NAHDA AL NASEEM PHARMACY LLC - AL NAHDA - DUBAI,PHARMACY,DUBAI,"GROUND FLOOR, AL NAHDA BUILDING, BAGHDAD STREET, DUBAI ",04-2581920,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"LIFE PHARMACY 46 BR OF LIFE PHARMACY LLC , AL NAHDA - LIFE HEALTHCARE GROUP",PHARMACY,DUBAI,"SHOP NO. 2 , TALAL TOWER, PLOT 231-236, AL NAHDA, DUBAI , UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"NEW COSMOPOLITAN PHARMACY, NAIF-RELIEF HEALTHCARE GROUP",PHARMACY,DUBAI,"AL NAKHAL ROAD, NEAR HAJI NASSER MASJID NAIF DEIRA, DUBAI",04-2293561,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
IBN SINA 45 PHARMACY (BR OF IBN SINA GROUP PHARMACIES L.L.C),PHARMACY,DUBAI,Nakheel Mall,04-5686691,Covered,Covered,Covered,Covered,Not Covered,Covered,Not Covered,
ASTER PHARMACY 110 (BR OF ASTER PHARMACIES GROUP LLC),PHARMACY,DUBAI,"MANDARIN BUILDING, GROUND FLOOR, STREET 13A, OUD MEHTHA, NEAR LAMCY PLAZA",04-3963158,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
BIN SERAY PHARMACY ,PHARMACY,DUBAI,"OUD MEHTA ROAD, NEAR LAMCY PLAZA",04-3355446,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
DOCIB PHARMACY-DUBAI,PHARMACY,DUBAI,"OUD METHA, DESERT HOME BUILDING
",04-2206161,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
NOVO PHARMACY LLC - DUBAI - (NOVO HEALTHCARE GROUP),PHARMACY,DUBAI,"Shop 2, Ground Floor, Maysoon Building,Oud Metha, Dubai, UAE",04-2517434,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
HEALTH FIRST PHARMACY 38,PHARMACY,DUBAI,"SHOP NO. 4&5, SALEH BEN LAHEJ BUILDING 338, OUD METHA",04-3960695,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
LIFE PHARMACY LLC BRANCH-DUBAI,PHARMACY,DUBAI,"UNIT 134, NEXT TO ICARE CLINIC, GROUND FLOOR",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ASTER PHARMACY 3- DM HEALTHCARE,PHARMACY,DUBAI,"G32, GROUND FLOOR, DUBAI OUTLET MALL",04-4437250,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MARINA PHARMACY GOLDEN MILE ONE,PHARMACY,DUBAI,"GROUND FLOOR, GOLDEN MILE ONE",052-9230950,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MARINA PHARMACY GOLDEN MILE TWO BRANCH,PHARMACY,DUBAI,"GROUND FLOOR, GOLDEN MILE TWO BUILDING",04-3466889,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"NAHDI PHARMACY BRANCH, NAKHEEL MALL",PHARMACY,DUBAI,"Nakheel Mall, Palm Jumeirah, DUBAI",04-5726287,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MARINA PALM PHARMACY LLC,PHARMACY,DUBAI,"PJSB CLUBHOUSE 03 G02, GROUND FLOOR",04-4355963,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY N K MALL BR OF LIFE PHARMACY LLC - LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"SHOP NO. NKM- B- 1010 & B-1011 , NAKHEEL MALL , PALM JUMEIRAH, DUBAI - UAE",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
THE POINT LIFE PHARMACY BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"NEXT TO REEL CINEMAS, THE POINTE , PLAM JUMERIAH, DUBAI , UAE",04-3410008,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY 51 BR OF LIFE PHARMACY LLC  - PALM JUMEIRAH - LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"UNIT NO. GM2-B-7-RT-23 B- GOLDEN MILE GALLERIA, DUBAI",04-5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
CITY CARE PHARMACY-RASALKHOOR PHARMACY GROUP,PHARMACY,DUBAI,AL ANSAR MOSQUE BULDING AL QUSAIS,04-2637991,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
TARIQ PHARMACY ,PHARMACY,DUBAI,AL BUSTAN CENTER,04-2635020,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ASTER GRAND PHARMACY,PHARMACY,DUBAI,"AL NAHDA, SHP 8, AB PLAZA BLDG",04-2505712,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDICOM 1,PHARMACY,DUBAI,"AL QUSAIS, INSIDE UNION COOPERATIVE SOCIETY",04-2633677,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDICOM9,PHARMACY,DUBAI,"AL QUSAIS, OPP AL QUSAIS POLICE STATION",04-2640818,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDICOM 11,PHARMACY,DUBAI,"AL QUSAIS, OPP AL TOWAR CENTRE",04-2611551,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDICOM 5 (EMIRATES COOPERATIVE PHARMACY),PHARMACY,DUBAI,"AL TAWAR, AL QUSAIS, EMIRATES COOPERATIVE SOCIETY BUILDING",04-2649929,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL HOKAMAA PHARMACY LLC - DUBAI(AQUA PHARMACY GROUP),PHARMACY,DUBAI,"al wasl bulding block B,SHOP NO.22 al qusais colony 1, dubai",04-2511146,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
SAHARA PHARMACY,PHARMACY,DUBAI,DAFRAH APPARTMENT,04-2638485,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
THUMBAY PHARMACY 2 LLC BRANCH- AL QUSAIS - (THUMBAY GROUP),PHARMACY,DUBAI,"DAMASCUS STREET , AL GHUWAIS BULDING , AL QUSAIS , DUBADI ",04-6030517,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
ALFA PHARMACY,PHARMACY,DUBAI,"DAMASCUS STREET, AL QUSAIS",04-2806714,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ASTER PHARMACY 204(BR OF ASTER PHARMACIES GROUP LLC),PHARMACY,DUBAI,"Damascus Street, Near Grand hotel",04-2203889,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
NEW AL SHAIMAA PHARMACY,PHARMACY,DUBAI,"DOHA ROAD, AL MOZNA BUIDLGING SHOP 4",04-2616286,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
OASIS LIFE PHARMACY ,PHARMACY,DUBAI,"GHUSAIS, DUBAI RESIDENTIAL OASIS , ATTACHED TO WELCARE CLINIC ",04-2586774,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
VCARE PHARMACY LLC- DUBAI,PHARMACY,DUBAI,"NASMAH TOWER, AL ITTIHAD ROAD",04-2654400,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
SMILE PHARMACY,PHARMACY,DUBAI,"NEAR MANGO HYPERMARKET, MUHAISNAH, AL QUSAIS",04-2643567,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
AL RAFEA PHARMACY,PHARMACY,DUBAI,"NEAR SHEIKH COLONY BUILIDING, NEAR DUBAI GRAND HOTEL , AIRLINE REST. BLDG ",04-2630521,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MALAK PHARMACY,PHARMACY,DUBAI,"OPP EMIRATES DRIVING SCHOOL, NOOR MASJIG BLDG",04-2633889,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
MASHREQ PHARMACY L.L.C.-FAITH GROUP,PHARMACY,DUBAI,OPP. GRAND HOTEL AL QUSAIS,04-2634081,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL NASEEM PHARMACY,PHARMACY,DUBAI,"SHEIKH COLONY, NEW TALAL SUPERMARKET BLDG .",04-2635277,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
NOOR AL QUSAIS PHARMACY LLC,PHARMACY,DUBAI,"SHOP NO 5, OPP DUBAI GRAND HOTEL",04-2633844,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"THUMBAY PHARMACY LLC BRANCH , RAS AL KHOR",PHARMACY,DUBAI,"AMA -HOLDING BUILDING, NEAR MARHABA MALL, RAS AL KHOR, DUBAI ",04-3201400,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
IBN AL AZWAR PHARMACY,PHARMACY,DUBAI,"RAS AL KHOR, RAS AL KHOR",04-3331504,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
HEALTH FIRST PHARMACY 2 BR OF HEALTH FIRST INVEST - DUBAI (PLANET GROUP),PHARMACY,DUBAI,"Shop No 5 & 6,Inside Aswaaq,Nad Al Sheba 4,Ras Al Khor,Dubai",04-3264234,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
AL NAHDA PHARMACY,PHARMACY,DUBAI,"SHOP NO: 6,  SHEHARI  VILLAGE, NEAR USED CARS",04-3200501,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
CREEK LIFE PHARMACY BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"Unit No. 1-21, 1-24, First Floor, Madina Mall, Dubai, UAE.",04-4566737,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL MANZIL AL JADEED PHARMACY LLC ,PHARMACY,DUBAI,"VEGETABLE AND FRUIT MARKET, SHOP NO 12, AL AWEER, RAS AL KHOR",06-7432297,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SAMARI RX PHARMACY BR OF IMARA HEALTH CARE LLC,PHARMACY,DUBAI,"SHOP NO. R1008-1, SAMARI RETAIL BUILDING, RAS AL KHOR INDUSTRIAL AREA SREET, SAMARI RESIDENCE ROAD",04-3330538,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDI PRIME PHARMACY RTA BRANCH,PHARMACY,DUBAI,"BLOCK C, GROUND FLOOR, RTA HEADQUARTERS, UMM RAMOOL",04-7070999,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,Psychiatric Benefits Not Covered
NAD SHAMMA PHARMACY LLC,PHARMACY,DUBAI,NEW KADOOLI BUILDING,04-2514107,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDICOM 12(DUBAI CENTURY PHARMACY),PHARMACY,DUBAI,"RASHIDIYA STREET, BEHIND BIN SOUQAT CENTRE, RASHIDIYA",04-2859110,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL BUSTAN PHARMACY ,PHARMACY,DUBAI,RASHIDIYA,04-2859795,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
DEIRA LIFE PHARMACY L.L.C-LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"SHOP#2,STATE 1 BUILDING, RIGGA, DUBAI.",04-2380116,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SAFA SOCIETY PHARMACY ,PHARMACY,DUBAI,"SAFA ROAD, UNION COOPERATIVE BLDG, OPPSITE SAFA PARK",04-3946618,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY 56 BR OF LIFE PHARMACY LLC - LIFE HEALTHCARE GROUP,PHARMACY,DUBAI,"Unit No. B1-S1, Ground Floor, Al Safa Park Complex, Dubai, UAE.",04-5610000,Covered,Covered,Covered,Covered,Not Covered,Covered,Not Covered,
LUQMAN PHARMACY,PHARMACY,DUBAI,ABDULZARAWANI BLDG. ,04-3312654,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
DOCTORS PHARMACY,PHARMACY,DUBAI,"AL SATWA, AL DIYAFAH STREET",04-3315297,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
BALSAM PHARMACY,PHARMACY,DUBAI,"DIYAFA ROAD, BUR DUBAI",04-3984899,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
SONDOS PHARMACY,PHARMACY,DUBAI,"DIYAFA STREET, NEAR DUNE CENTER",04-3460660,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MODERN IBN SINA PHARMACY,PHARMACY,DUBAI,"DIYAFA STREET, OPPOSITE DUNE CENTER",04-3986026,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ASTER PHARMACY 129 BR OF ASTER PHARMACIES GROUP LLC,PHARMACY,DUBAI,"GROUND FLOOR, MARJANA PLAZA BUILDING, AL BADA",04-3590530,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MARINA CARE PHARMACY - SATWA - MARINA PHARMACY GROUP,PHARMACY,DUBAI,IRANIAN HOSPITAL,04-3436020,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
